name, lat (degrees), lon (degrees), alt (feet), trk (degrees), gs (knots), vs (f/m), time (s)
TRAF3, 37.01642071, -76.59143464, 753.78190000, -41.68681352, 34.91475344, 0.00000000, 6.0
TRAF3, 37.01654143, -76.59156927, 753.78190000, -41.68689457, 34.91475344, 0.00000000, 7.0
TRAF3, 37.01666214, -76.59170391, 753.78190000, -41.68697563, 34.91475344, 0.00000000, 8.0
TRAF3, 37.01678285, -76.59183854, 753.78190000, -41.68705669, 34.91475344, 0.00000000, 9.0
TRAF3, 37.01690356, -76.59197318, 753.78190000, -41.68713775, 34.91475344, 0.00000000, 10.0
TRAF2, 37.01941207, -76.58175682, 656.36590000, -84.49388816, 27.17101152, 0.00000000, 10.0
TRAF1, 37.02732386, -76.59988034, 656.36590000, 128.55477513, 26.38695916, 0.00000000, 10.0
TRAF3, 37.01702428, -76.59210782, 753.78190000, -41.68721881, 34.91475344, 0.00000000, 11.0
TRAF2, 37.01942414, -76.58191364, 656.36590000, -84.49398258, 27.17101152, 0.00000000, 11.0
TRAF1, 37.02724772, -76.59976068, 656.36590000, 128.55484719, 26.38695916, 0.00000000, 11.0
TRAF3, 37.01714499, -76.59224246, 753.78190000, -41.68729987, 34.91475344, 0.00000000, 12.0
TRAF2, 37.01943621, -76.58207046, 656.36590000, -84.49407700, 27.17101152, 0.00000000, 12.0
TRAF1, 37.02717158, -76.59964101, 656.36590000, 128.55491925, 26.38695916, 0.00000000, 12.0
TRAF3, 37.01726570, -76.59237710, 753.78190000, -41.68738092, 34.91475344, 0.00000000, 13.0
TRAF2, 37.01944828, -76.58222729, 656.36590000, -84.49417142, 27.17101152, 0.00000000, 13.0
TRAF1, 37.02709544, -76.59952135, 656.36590000, 128.55499131, 26.38695916, 0.00000000, 13.0
TRAF3, 37.01738641, -76.59251173, 753.78190000, -41.68746199, 34.91475344, 0.00000000, 14.0
TRAF2, 37.01946035, -76.58238411, 656.36590000, -84.49426584, 27.17101152, 0.00000000, 14.0
TRAF1, 37.02701930, -76.59940169, 656.36590000, 128.55506337, 26.38695916, 0.00000000, 14.0
TRAF3, 37.01750713, -76.59264637, 753.78190000, -41.68754305, 34.91475344, 0.00000000, 15.0
TRAF2, 37.01947242, -76.58254093, 656.36590000, -84.49436026, 27.17101152, 0.00000000, 15.0
TRAF1, 37.02694317, -76.59928203, 656.36590000, 128.55513543, 26.38695916, 0.00000000, 15.0
TRAF3, 37.01762784, -76.59278101, 753.78190000, -41.68762411, 34.91475344, 0.00000000, 16.0
TRAF2, 37.01948449, -76.58269775, 656.36590000, -84.49445468, 27.17101152, 0.00000000, 16.0
TRAF1, 37.02686703, -76.59916237, 656.36590000, 128.55520749, 26.38695916, 0.00000000, 16.0
TRAF3, 37.01774855, -76.59291565, 753.78190000, -41.68770517, 34.91475344, 0.00000000, 17.0
TRAF2, 37.01949655, -76.58285457, 656.36590000, -84.49454910, 27.17101152, 0.00000000, 17.0
TRAF1, 37.02679089, -76.59904271, 656.36590000, 128.55527955, 26.38695916, 0.00000000, 17.0
TRAF3, 37.01786926, -76.59305029, 753.78190000, -41.68778623, 34.91475344, 0.00000000, 18.0
TRAF2, 37.01950862, -76.58301140, 656.36590000, -84.49464352, 27.17101152, 0.00000000, 18.0
TRAF1, 37.02671475, -76.59892305, 656.36590000, 128.55535161, 26.38695916, 0.00000000, 18.0
TRAF3, 37.01798997, -76.59318494, 753.78190000, -41.68786729, 34.91475344, 0.00000000, 19.0
TRAF2, 37.01952069, -76.58316822, 656.36590000, -84.49473794, 27.17101152, 0.00000000, 19.0
TRAF1, 37.02663861, -76.59880339, 656.36590000, 128.55542366, 26.38695916, 0.00000000, 19.0
TRAF3, 37.01811068, -76.59331958, 753.78190000, -41.68794836, 34.91475344, 0.00000000, 20.0
TRAF2, 37.01953276, -76.58332504, 656.36590000, -84.49483236, 27.17101152, 0.00000000, 20.0
TRAF1, 37.02656247, -76.59868373, 656.36590000, 128.55549572, 26.38695916, 0.00000000, 20.0
TRAF3, 37.01823139, -76.59345422, 753.78190000, -41.68802942, 34.91475344, 0.00000000, 21.0
TRAF2, 37.01954483, -76.58348186, 656.36590000, -84.49492679, 27.17101152, 0.00000000, 21.0
TRAF1, 37.02648633, -76.59856407, 656.36590000, 128.55556778, 26.38695916, 0.00000000, 21.0
TRAF3, 37.01835210, -76.59358886, 753.78190000, -41.68811049, 34.91475344, 0.00000000, 22.0
TRAF2, 37.01955689, -76.58363868, 656.36590000, -84.49502121, 27.17101152, 0.00000000, 22.0
TRAF1, 37.02641019, -76.59844441, 656.36590000, 128.55563983, 26.38695916, 0.00000000, 22.0
TRAF3, 37.01847281, -76.59372350, 753.78190000, -41.68819155, 34.91475344, 0.00000000, 23.0
TRAF2, 37.01956896, -76.58379551, 656.36590000, -84.49511563, 27.17101152, 0.00000000, 23.0
TRAF1, 37.02633405, -76.59832475, 656.36590000, 128.55571189, 26.38695916, 0.00000000, 23.0
TRAF3, 37.01859352, -76.59385815, 753.78190000, -41.68827262, 34.91475344, 0.00000000, 24.0
TRAF2, 37.01958103, -76.58395233, 656.36590000, -84.49521005, 27.17101152, 0.00000000, 24.0
TRAF1, 37.02625790, -76.59820509, 656.36590000, 128.55578395, 26.38695916, 0.00000000, 24.0
TRAF3, 37.01871423, -76.59399279, 753.78190000, -41.68835369, 34.91475345, 0.00000000, 25.0
TRAF2, 37.01959310, -76.58410915, 656.36590000, -84.49530447, 27.17101152, 0.00000000, 25.0
TRAF1, 37.02618176, -76.59808543, 656.36590000, 128.55585600, 26.38695916, 0.00000000, 25.0
TRAF3, 37.01884347, -76.59411430, 753.78190000, -29.88102389, 34.99995923, 0.00000000, 26.0
TRAF2, 37.01960516, -76.58426597, 656.36590000, -84.49539889, 27.17101152, 0.00000000, 26.0
TRAF1, 37.02610562, -76.59796577, 656.36590000, 128.55592806, 26.38695916, 0.00000000, 26.0
TRAF3, 37.01884347, -76.59411430, 753.78190000, -29.88102389, 34.99995923, 0.00000000, 27.0
TRAF2, 37.01961723, -76.58442280, 656.36590000, -84.49549331, 27.17101152, 0.00000000, 27.0
TRAF1, 37.02602948, -76.59784612, 656.36590000, 128.55600012, 26.38695916, 0.00000000, 27.0
TRAF3, 37.01899266, -76.59419210, 753.78190000, -15.32945446, 34.99995923, 0.00000000, 28.0
TRAF2, 37.01962930, -76.58457962, 656.36590000, -84.49558773, 27.17101152, 0.00000000, 28.0
TRAF1, 37.02595334, -76.59772646, 656.36590000, 128.55607217, 26.38695916, 0.00000000, 28.0
TRAF3, 37.01931262, -76.59423537, 753.78190000, -3.91491358, 34.70504617, 0.00000000, 29.0
TRAF2, 37.01964136, -76.58473644, 656.36590000, -84.49568215, 27.17101152, 0.00000000, 29.0
TRAF1, 37.02587720, -76.59760680, 656.36590000, 128.55614423, 26.38695916, 0.00000000, 29.0
TRAF3, 37.01947292, -76.59424911, 753.78190000, -3.91492185, 34.70504617, 0.00000000, 30.0
TRAF2, 37.01965343, -76.58489326, 656.36590000, -84.49577657, 27.17101152, 0.00000000, 30.0
TRAF1, 37.02580106, -76.59748714, 656.36590000, 128.55621628, 26.38695916, 0.00000000, 30.0
TRAF3, 37.01963321, -76.59426284, 753.78190000, -3.91493012, 34.70504617, 0.00000000, 31.0
